ID,Наименование,Дата размещения КР,МКБ-10
912_1,Сепсис новорождённых,5/20/2025,"P36.0, P36.1, P36.2, P36.3, P36.4, P36.5, P36.8, P36.9"
913_1,Деформация перегородки носа,5/20/2025,J34.2
615_3,Недостаточность питания (мальнутриция) у пациентов пожилого и старческого возраста,5/19/2025,"E43, E44, E46"
721_2,Привычный выкидыш,5/16/2025,"N96, O26.2"
911_1,Ботулизм у взрослых,5/16/2025,A05.1
910_1,Синдром поликистозных яичников,5/14/2025,E28.2
909_1,Полицитемия новорожденного,5/14/2025,P61.1
908_1,Гипоксическая ишемическая энцефалопатия новорожденного вследствие перенесенной асфиксии при родах,5/13/2025,"P21.0, P21.1, P91.0, P91.6"
550_3,Атипичный гемолитико-уремический синдром,5/13/2025,"D59.3, M31.1, N08.2, N17.0, N17.1"
293_2,Мукополисахаридоз тип VI,5/6/2025,E76.2
292_2,Мукополисахаридоз тип II,5/5/2025,E76.1
291_2,Мукополисахаридоз тип I,4/30/2025,E76.0
317_2,Болезнь Помпе,4/30/2025,E74.0
88_5,Первичный гиперпаратиреоз,4/23/2025,"C75.0, D35.1, E21.0, E21.2, E21.3, E21.4, E21.5"
5_3,Мужское бесплодие,4/23/2025,"N46, Z31.6"
524_3,Первичная надпочечниковая недостаточность,4/22/2025,"E27.1, E27.2, E27.3, E27.4, E27.8, E35.1, E89.6"
15_3,Эректильная дисфункция,4/22/2025,"F52.2, N48.4"
588_3,Нейрогенная дисфункция нижних мочевыводящих путей,4/22/2025,"G83.4, G95.8, N31.0, N31.1, N31.2, N31.8, N31.9"
610_2,Нейроэндокринные опухоли,4/18/2025,"C10, C11, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26.0, C26.8, C26.9, C33, C34, C37, C38, C39, C44, C48.8, C50, C51, C52, C53, C54, C55, C56, C57, C61, C64, C65, C66, C67, C68, C73, C74.1, C74.9, C75, C78, C80, C97"
907_1,"Синдром новорожденного, родившегося у матери с сахарным диабетом",4/15/2025,"P70.0, P70.1"
906_1,Геморрагическая болезнь плода и новорожденного,4/15/2025,P53
905_1,Врожденная пневмония,4/15/2025,"P23.0, P23.1, P23.2, P23.3, P23.4, P23.5, P23.6, P23.8, P23.9"
283_2,Гипертрофическая кардиомиопатия,4/14/2025,"I42.1, I42.2"
263_2,Анафилактический шок,4/14/2025,"T78.0, T78.2, T80.5, T88.6"
477_2,Юношеский артрит,4/11/2025,"M08.0, M08.1, M08.3, M08.4"
650_2,Обсессивно-компульсивное расстройство,4/10/2025,"F42, F42.0, F42.1, F42.2, F42.8, F42.9"
22_3,Нейросенсорная тугоухость у детей,2/10/2025,"H90.3, H90.4, H90.5"
26_4,Юношеский артрит с системным началом,1/30/2025,M08.2
529_2,Острый лимфобластный лейкоз,1/29/2025,"C83.5, C91.0, C95.0"
586_3,Острые миелоидные лейкозы,1/28/2025,"C92.0, C92.3, C92.5, C92.6, C92.7, C92.8, C92.9, C93.0, C94.0, C94.2"
134_2,Хронический лимфоцитарный лейкоз / лимфома из малых лимфоцитов,1/27/2025,C91.1
75_2,Опухоли слюнных желез у детей,1/27/2025,"C06.9, C07, C08, D10.3, D11"
69_2,Экстракраниальные герминогенные опухоли,1/27/2025,"C38.1, C48.0, C49.0, C49.5, C49.9, C56, C62, C62.0, C62.1, C62.9, D15, D20, D21, D28, D29, D36"
138_2,Нодальные Т-клеточные лимфомы,1/24/2025,"C84.5, C84.6, C84.7, C84.9, C86.0, C86.1, C86.5"
78_2,Нейробластома,1/24/2025,"C38.2, C47.0, C47.3, C47.4, C47.5, C47.6, C47.8, C47.9, C48.0, C74.1, C74.9, C76.0, C76.1, C76.2, C76.7, C76.8, D48.3"
3_2,Рак полости носа и придаточных пазух,1/24/2025,"C30, C31"
355_5,Рак поджелудочной железы,1/23/2025,"C25, D37.7"
460_4,Рак тела матки и саркомы матки,1/23/2025,"C54, C55, D07.0"
144_2,Множественная миелома,1/22/2025,C90.0
141_2,Миелодиспластический синдром. Миелодиспластические/ миелопролиферативные новообразования,1/22/2025,"C92.2, C93.1, C94.6, D46, D46.0, D46.1, D46.2, D46.4, D46.5, D46.6, D46.7, D46.9"
696_2,Апластическая анемия,1/21/2025,"D61.3, D61.8, D61.9"
139_2,Лимфома Ходжкина,1/20/2025,C81
652_2,Перелом дна глазницы,1/20/2025,S02.3
904_1,Переломы бедренной кости (кроме проксимального отдела бедренной кости),1/20/2025,"S72.3, S72.4, S72.7, S72.8, S72.9, T02.3, T02.5, T02.6, T93.1"
74_2,Рак щитовидной железы,1/20/2025,C73
903_1,Острый панкреатит,1/20/2025,"K85.0, K85.1, K85.2, K85.3, K85.8, K85.9"
537_3,Рак шейки матки,1/17/2025,"C53, D06"
632_2,Перелом верхней челюсти,1/17/2025,S02.4
164_2,Злокачественные новообразования полости рта,1/16/2025,"C02.0, C02.1, C02.2, C02.3, C02.8, C02.9, C03, C04, C05.0, C06"
633_2,Перелом скуловой кости,1/16/2025,S02.4
70_2,"Злокачественные новообразования костей и суставных хрящей: остеосаркома, саркома Юинга",1/16/2025,"C40, C41, D48.0"
66_4,Рак носоглотки,1/15/2025,C11
391_3,Язвенный колит,1/15/2025,K51
495_2,Рак желчевыводящей системы,1/15/2025,"C22, C23, C24.0, C24.8, C24.9"
360_3,Острый бронхиолит,1/14/2025,"B97.4, J21.0, J21.1, J21.8, J21.9"
352_3,"Острый обструктивный ларингит [круп], эпиглоттит, постинтубационный отек гортани",1/14/2025,"J05.0, J05.1, J38.4, J38.6"
277_2,Язвенная болезнь,1/13/2025,"K25, K26, K27.0, K27.4, K28.0, K28.4, K31.1, K31.2, K31.6, K31.9"
902_1,Раны мягких тканей челюстно-лицевой области,1/13/2025,"S00.1, S00.2, S00.5, S01.1, S01.4, S01.5, S01.7, S01.8, S03.4, S08.1"
901_1,Лечение острой травмы зубов у пациентов детского возраста,1/10/2025,"S02.5, S03.2"
496_2,Острые лимфобластные лейкозы,1/10/2025,"C83.5, C91.0, C91.5, C91.7, C91.9"
900_1,Хронический вирусный гепатит B,1/10/2025,B18.1
250_3,Ревматоидный артрит,12/28/2024,"M05, M06"
9_3,Острый пиелонефрит,12/28/2024,"N10, N13.6, N15.1, N39.0"
655_2,Хронический бронхит,12/28/2024,"J40, J41, J42"
601_2,"Психические и поведенческие расстройства, вызванные употреблением табака (никотина). Синдром зависимости от табака, синдром отмены табака у взрослых",12/27/2024,"F17.2, F17.3"
551_3,Гастроинтестинальные стромальные опухоли,12/27/2024,"C15, C16, C17, C18, C19, C20, C48"
534_3,Вторичное злокачественное новообразование головного мозга и мозговых оболочек,12/27/2024,C79.3
899_1,"Психические и поведенческие расстройства, вызванные употреблением алкоголя Синдром зависимости от алкоголя",12/27/2024,F10.2
898_1,Сепсис (у взрослых),12/27/2024,"A40, A40.0, A40.1, A40.2, A40.3, A40.8, A40.9, A41, A41.0, A41.1, A41.2, A41.3, A41.4, A41.5, A41.8, A41.9, B37.7"
590_2,"Психические и поведенческие расстройства, вызванные употреблением психоактивных веществ Абстинентное состояние (синдром отмены) с делирием",12/27/2024,"F10.4, F11.4, F13.4, F19.4"
897_1,"Острые отравления неопиоидными анальгезирующими, жаропонижающими и противоревматическими средствами",12/26/2024,T39
896_1,Перелом верхней челюсти и скуловой кости,12/26/2024,S02.4
894_1,Гломерулярные болезни: иммуноглобулин А-нефропатия,12/26/2024,"N00.1, N00.3, N00.4, N00.7, N00.8, N01.1, N01.3, N01.4, N01.7, N01.8, N02.1, N02.3, N02.4, N02.7, N02.8, N03.1, N03.3, N03.4, N03.7, N03.8, N04.1, N04.3, N04.4, N04.7, N04.8, N06.1, N06.3, N06.4, N06.7, N06.8, N08.2, N18.1, N18.2, N18.3, N18.4, N18.5, N18.9"
893_1,Опухоли невыявленной первичной локализации,12/26/2024,"C76, C77, C78, C79, C80, D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D47, D48"
883_1,Другие плазмоклеточные новообразования,12/26/2024,C90
682_2,Болезнь Крона,12/26/2024,"K50, K52.3, K52.9"
891_1,Острый бронхит,12/26/2024,J20
889_1,Хронический миелоидный лейкоз,12/26/2024,C92.1
888_1,"Психические и поведенческие расстройства, вызванные употреблением психоактивных веществ [алкоголя, опиоидов, каннабиноидов, седативных и снотворных веществ, кокаина, других стимуляторов (кроме кофеина), летучих растворителей, никотина, галлюциногенов и нескольких психоактивных веществ]. Острая интоксикация",12/26/2024,"F10.0, F11.0, F12.0, F13.0, F14.0, F15.0, F16.0, F17.0, F18.0, F19.0"
890_1,Полипозный риносинусит,12/26/2024,"J33.0, J33.1, J33.8, J33.9"
892_1,Синдром раздраженного кишечника,12/26/2024,"K52.3, K52.9, K58.0, K58.1, K58.2, K58.3, K58.8, K58.9, K59.1, K59.2, K59.8, K59.9"
895_1,Краниальные мононейропатии у взрослых,12/26/2024,"B02.2, G44.0, G50.0, G50.1, G50.8, G50.9, G51.0, G51.1, G51.2, G51.3, G51.4, G51.8, G51.9, G52.0, G52.1, G52.2, G52.3, G52.7, G52.8, G52.9, G53.0, G90.0"
886_1,Камни нижних отделов мочевых путей,12/25/2024,"N21.0, N21.1, N21.8, N21.9"
887_1,Киста почки,12/25/2024,"N28.1, Q61.0, Q61.8"
885_1,"Токсическое действие окиси углерода. Токсическое действие других газов, дымов и паров",12/25/2024,"T58, T59"
882_1,Токсическое действие разъедающих веществ,12/25/2024,T54
884_1,Токсическое действие галогенпроизводных алифатических и ароматических углеводородов,12/25/2024,T53
880_1,"Отравление психотропными средствами, не классифицированное в других рубриках",12/25/2024,T43
876_1,Воздействие вибрации (Вибрационная болезнь),12/25/2024,"G56.0, G62.8, I73.0, M19.2, M54.1, M77.2, T75.2, Z57.7"
881_1,Митральная недостаточность,12/25/2024,"I05.1, I05.2, I05.8, I34.0, I34.1, I34.8, I34.9, Q23.3"
875_1,Острые кишечные инфекции (ОКИ) у взрослых,12/25/2024,"A04.0, A04.1, A04.2, A04.3, A04.4, A04.5, A04.6, A04.7, A04.8, A04.9, A05.0, A05.3, A05.4, A05.8, A05.9, A08.0, A08.1, A08.2, A08.3, A08.4, A08.5, A09, B34.1"
879_1,"Отравления производным амфетамина, синтетическими катинонами и прекурсорами ГОМК",12/25/2024,"T40.6, T40.9"
28_3,Ожирение,12/25/2024,"E66.0, E66.1, E66.2, E66.8, E66.9"
877_1,Желчнокаменная болезнь,12/25/2024,"K80.0, K80.1, K80.2, K80.3, K80.4, K80.5, K80.8, K82.0, K82.1, K82.2, K82.3, K82.4, K82.8, K83.1, K83.3, K83.8, K87.0, K91.5"
878_1,"Энтероколит, вызванный Clostridioides difficile (C. difficile)",12/25/2024,"A04.7, K52.8"
874_1,Отравление производными барбитуровой кислоты (барбитуратами) (T42.3),12/24/2024,T42.3
871_1,Множественные переломы мозгового и лицевого отделов черепа,12/24/2024,"S02.0, S02.1, S02.4, S02.6, S02.7, S02.8, S02.9, S07"
673_2,Хронический вирусный гепатит D (ХВГD) у взрослых,12/24/2024,B18.0
873_1,Токсическое действие метанола и этиленгликоля,12/24/2024,"T51.1, T52.3"
872_1,Отравления бензодиазепинами,12/24/2024,T42.4
869_1,Шигеллез,12/24/2024,"A03, A03.0, A03.1, A03.2, A03.3, A03.8, A03.9, A06.0"
866_1,Перелом нижней челюсти,12/24/2024,S02.6
868_1,Гонартроз,12/24/2024,"M17, M17.0, M17.1, M17.2, M17.3, M17.4, M17.5, M17.9, M24.5"
870_1,Коксартроз,12/24/2024,"M16, M16.0, M16.1, M16.2, M16.3, M16.4, M16.5, M16.6, M16.7, M16.9, M24.6, M24.7"
553_2,Злокачественные новообразования губы,12/24/2024,C00
129_3,"Агрессивные нефолликулярные лимфомы - диффузная В-клеточная крупноклеточная лимфома, В-клеточная лимфома высокой степени злокачественности с перестройкой генов c-MYC и BCL2/BCL6, первичная медиастинальная В-клеточная лимфома, медиастинальная лимфома серой зоны, лимфома Беркитта, плазмобластная лимфома.",12/24/2024,"C83.3, C83.7, C83.8, C83.9, C85.2, C85.7, C91.8"
867_1,Дистония,12/24/2024,"G24, G24.0, G24.1, G24.2, G24.3, G24.4, G24.5, G24.8, G24.9"
346_2,Пограничные опухоли яичников,12/23/2024,"C56, D39.1"
344_2,Злокачественные новообразования влагалища,12/23/2024,"C52, D07.2"
865_1,Открытая рана голени,12/23/2024,"S81.7, S81.8, S81.9, T01.3, T93.0"
654_2,Внебольничная пневмония у взрослых,12/23/2024,"J13, J14, J15, J16, J18, J85.1"
374_3,Мочекаменная болезнь,12/23/2024,"E79.8, E79.9, N20, N21, N22, N23"
657_2,Вывих надколенника,12/20/2024,"M22.0, M22.1, S83.0"
620_3,"Заболевания и состояния, связанные с дефицитом йода",12/20/2024,"D34, E01.0, E01.1, E01.2, E01.8, E02, E04.0, E04.1, E04.2, E04.8, E04.9, E05.1, E05.2, E07.9"
863_1,Повреждения хряща коленного сустава,12/20/2024,"M23.4, M94.2, M94.8, S83.3"
864_1,Переломы проксимального отдела голени,12/20/2024,"S82.1, S83.1"
691_2,Повреждение связок коленного сустава,12/20/2024,"M23.5, M23.6, S83.4, S83.5, S83.6, S83.7"
676_2,Умственная отсталость,12/19/2024,"F70, F71, F72, F73, F78, F79"
452_3,Умственная отсталость у взрослых,12/19/2024,"F70.0, F70.1, F70.8, F70.9, F71.0, F71.1, F71.8, F71.9, F72.0, F72.1, F72.8, F72.9, F73.0, F73.1, F73.8, F73.9, F78.0, F78.1, F78.8, F78.9, F79.0, F79.1, F79.8, F79.9"
861_1,Частичный аномальный дренаж легочных вен (ЧАДЛВ),12/19/2024,Q26.3
381_3,Бронхит,12/19/2024,"J20, J40, J41, J42"
858_1,Воспалительные заболевания молочных желез,12/19/2024,"N61, N64.0, O91, O91.0, O91.1, O91.2, O92.1, P39.0"
860_1,Переломы дистального отдела костей голени,12/19/2024,"S82.3, S82.7, S82.8, S82.9, S89.7, S89.8, T93.2"
859_1,Переломы проксимального отдела плечевой кости,12/19/2024,"S42.2, S42.7, S42.8, S42.9, S43.0, S43.4, S43.5, S46.0, T92.1"
862_1,Повреждение мениска коленного сустава,12/19/2024,"M23.0, M23.2, M23.3, S83.2"
855_1,Переломы лодыжек,12/19/2024,"S82.4, S82.5, S82.6, S82.7, S93.0"
857_1,Повреждения тазового кольца,12/19/2024,"S30.0, S32.1, S32.2, S32.3, S32.4, S32.5, S32.7, S32.8, S33.2, S33.4, S33.6, S33.7, T91.2"
856_1,Переломы костей стопы (кроме переломов пяточной кости),12/19/2024,"S92, S92.1, S92.2, S92.3, S92.4, S92.5, S92.7, S92.9, S93.3"
847_1,Переломы проксимального отдела костей предплечья,12/18/2024,"S52.0, S52.1, S52.7, S53.0, T92.1"
854_1,Переломы дистального отдела плечевой кости,12/18/2024,S42.4
853_1,Переломы ключицы и лопатки,12/18/2024,"S42.0, S42.1, S43.1, S43.2"
850_1,Идиопатический сколиоз,12/18/2024,"M41, M41.0, M41.1, M41.2, M41.3, M41.8, M41.9"
846_1,Переломы дистального отдела костей предплечья,12/18/2024,"M89.0, S52.5, S52.6, S52.8, S52.9, S54.0, S54.1"
851_1,Переломы диафиза плечевой кости,12/18/2024,S42.3
852_1,Переломы диафиза большеберцовой кости,12/18/2024,S82.2
849_1,Грыжа пищеводного отверстия диафрагмы,12/18/2024,"K44.0, K44.1, K44.9"
848_1,Мальформация кровеносных сосудов головы и шеи,12/18/2024,"D10, D18, Q25.8, Q25.9, Q26.8, Q26.9, Q27, Q28.8, Q28.9"
844_1,"Инфекция, ассоциированная с ортопедическими имплантатами",12/18/2024,"T84.5, T84.6, T84.7, Z96.6"
845_1,Переломы диафиза костей предплечья,12/18/2024,"S52.2, S52.3, S52.4, S52.7, S59.7"
842_1,Доброкачественные образования головы и шеи,12/18/2024,"D10.0, D10.1, D10.2, D10.3, D11.0, D11.7, D11.9, D13.0, D14.0, D16.0, D17.0, D18.0, D18.1, D19.0, D21.0, D22.0, D23.0, D23.1, D23.2, D23.3, D23.4, D36.0, D36.7, D36.9"
151_2,Фолликулярная лимфома,12/18/2024,"C82, C85.9"
21_3,Наружный отит,12/18/2024,"H60.0, H60.1, H60.2, H60.3, H60.5, H60.8, H60.9, H61.0, H61.8, H61.9, H62.0, H62.1, H62.2, H62.3, H62.4, H62.8"
688_2,Открытая рана запястья и кисти,12/18/2024,"S61.0, S61.1, S61.7, S61.8, S61.9, T01.2, T92.0"
843_1,Глаукомы вторичные,12/17/2024,"H40.3, H40.4, H40.5, H40.8, H40.9, H42.8"
704_2,Болезнь Шёйермана,12/17/2024,"M40.0, M40.1, M40.2, M42.0, Q76.4, Q77.8"
841_1,Гестационный сахарный диабет,12/17/2024,"O24.0, O24.1, O24.3, O24.4, O24.9"
603_3,Хроническая обструктивная болезнь легких,12/17/2024,"J44, Z57.2, Z57.3, Z57.4, Z57.5"
131_2,Острые миелоидные лейкозы,12/17/2024,"C92.0, C92.3, C92.5, C92.6, C92.7, C92.8, C92.9, C93.0, C94.0, C94.2, C94.7, C95.0"
43_2,Открытый артериальный проток (ОАП),12/17/2024,Q25.0
266_2,Солитарная (экстрамедуллярная) плазмоцитома,12/13/2024,"C90.2, C90.3"
592_3,"Психические и поведенческие расстройства, вызванные употреблением психоактивных веществ. Пагубное (с вредными последствиями) употребление",12/13/2024,"F10.1, F11.1, F12.1, F13.1, F14.1, F15.1, F16.1, F17.1, F18.1, F19.1"
273_5,Хронический панкреатит,12/13/2024,"K86.0, K86.1, K86.2, K86.3, K86.8, K90.3"
838_1,Вирусные пневмонии,12/12/2024,"J12, J12.0, J12.1, J12.2, J12.3, J12.8, J12.9"
281_3,Инфекция мочевых путей,12/12/2024,"N10, N11, N13.6, N15.1, N30, N30.0, N30.1, N30.9, N39.0"
840_1,Врожденная диафрагмальная грыжа,12/12/2024,"K44.0, K44.1, K44.9, Q40.1, Q79.0, Q79.1"
836_1,Киста почки у детей,12/11/2024,"N28.1, Q61.0"
837_1,Гастрит и дуоденит у детей,12/11/2024,"K29.0, K29.1, K29.3, K29.4, K29.5, K29.6, K29.7, K29.8, K29.9, K31.8"
839_1,Лямблиоз у детей и взрослых,12/11/2024,A07.1
587_2,Почечная колика,12/9/2024,"N13.2, N23"
327_3,Острая неопухолевая кишечная непроходимость,12/6/2024,"K31.5, K45, K46, K56.0, K56.1, K56.2, K56.3, K56.4, K56.5, K56.6, K56.7"
835_1,Энурез,12/6/2024,"F98.0, G96.8, N31.9, N39, N39.3, N39.4, N39.8, N39.9, R32"
834_1,Болезнь Гоше,12/5/2024,E75.2
541_2,Неэпителиальные опухоли яичников,12/4/2024,C56
237_6,Рак пищевода и кардии,12/4/2024,"C15, C16.0"
618_3,Забрюшинные неорганные саркомы,12/3/2024,"C48.0, C48.8"
76_2,Саркомы мягких тканей,12/3/2024,"C22.4, C48.0, C49.0, C49.1, C49.2, C49.3, C49.4, C49.5, C49.6, C49.8, C49.9, C76.3"
584_2,Герминогенные опухоли у мужчин,12/2/2024,"C38.1, C38.2, C38.3, C38.8, C48.0, C48.8, C62.0, C62.1, C62.9, D40.1"
501_2,Рак вульвы,12/2/2024,"C51, D07.1"
602_2,Синдром гипоплазии левых отделов сердца,11/29/2024,Q23.4
580_3,Желчнокаменная болезнь,11/29/2024,"K80, K81.1, K82.8, K83.0, K83.8, K83.9"
67_2,"Злокачественные новообразования почек, почечных лоханок, мочеточника, других и неуточненных мочевых органов",11/29/2024,"C64, C65, C66, C68"
833_1,Дисменорея,11/28/2024,"N94.0, N94.4, N94.5, N94.6, N94.8"
121_2,Апластическая анемия,11/28/2024,"D61.1, D61.3, D61.8, D61.9"
642_2,Внематочная (эктопическая) беременность,11/28/2024,"O00, O08"
831_1,Воспалительные поражения позвоночника,11/28/2024,"A18.0, A23, B67.2, B67.6, M46.1, M46.2, M46.3, M46.4, M46.5, M46.8, M46.9, M49.0, M49.2, M49.3, M86.3, Y83.8, Y83.9"
830_1,Перерыв дуги аорты. Двойная дуга аорты,11/27/2024,Q25.4
829_1,Аномалия развития коронарных сосудов,11/27/2024,Q24.5
828_1,Грыжи передней брюшной стенки,11/27/2024,"K40.0, K40.1, K40.2, K40.3, K40.4, K40.9, K42.0, K42.1, K42.9, K43.6, K43.7, K43.9"
536_3,Витамин-В12-дефицитная анемия,11/27/2024,"D51.0, D51.1, D51.3, D51.8, D51.9, D53.1"
540_3,Фолиеводефицитная анемия,11/27/2024,D52
145_3,Острые порфирии,11/27/2024,E80.2
827_1,Макроглобулинемия Вальденстрема,11/26/2024,C88.0
130_2,Волосатоклеточный лейкоз,11/26/2024,C91.4
825_1,Норовирусный гастроэнтерит у детей,11/26/2024,A08.1
543_3,Серповидно-клеточные нарушения,11/26/2024,D57
826_1,Дегенеративные заболевания позвоночника,11/26/2024,"G58.0, M19.8, M41.5, M42.1, M42.9, M43.1, M43.8, M46.0, M46.1, M47.0, M47.1, M47.2, M48.0, M50.0, M50.1, M50.2, M50.3, M50.8, M50.9, M51.0, M51.1, M51.2, M51.3, M53.0, M53.1, M53.2, M53.3, M53.8, M54.1, M54.2, M54.3, M54.4, M54.5, M54.6, M54.8, M54.9, M96.4, M96.8, M96.9, M99.4, M99.5, M99.6, M99.7, S33.6"
824_1,Хронический вирусный гепатит С (ХВГС) у детей,11/25/2024,B18.2
157_5,Острый инфаркт миокарда с подъемом сегмента ST электрокардиограммы,11/25/2024,"I21.0, I21.1, I21.2, I21.3, I21.9, I22.0, I22.1, I22.8, I22.9, I24.0, I24.8, I24.9"
703_2,Сальмонеллез у детей,11/25/2024,"A02.0, A02.1, A02.2, A02.8, A02.9"
821_1,Химический ожог пищевода,11/25/2024,"T28.5, T28.6, T28.7"
656_2,Эмфизема легких,11/25/2024,J43
284_2,Катаракта старческая,11/25/2024,"H25.0, H25.1, H25.2, H25.8, H25.9"
820_1,"Аномалии объема амниотической жидкости (многоводие, маловодие)",11/25/2024,"O40, O41, O41.0, O41.8, O41.9"
822_1,Аномалии родовой деятельности,11/25/2024,"O62, O63, O75.8"
823_1,"Медицинская помощь матери при установленных или предполагаемых аномалиях и повреждениях плода, и антенатальной гибели плода",11/25/2024,"O35, O36.4, O83.4"
7_2,Мочекаменная болезнь,11/22/2024,"N20, N20.0, N20.1, N20.2, N20.9"
267_2,Наследственный ангиоотёк,11/22/2024,D84.1
819_1,Холецистит,11/22/2024,K81
112_2,Врожденная глаукома,11/21/2024,Q15.0
68_2,Гепатобластома,11/21/2024,"C22.2, D13.4"
817_1,"Психические и поведенческие расстройства, вызванные употреблением психоактивных веществ [алкоголя, каннабиноидов, седативных и снотворных веществ, кокаина, других стимуляторов (кроме кофеина), галлюциногенов и нескольких психоактивных веществ] Психотическое расстройство",11/21/2024,"F10.5, F12.5, F13.5, F14.5, F15.5, F16.5, F19.5"
170_3,Специфические расстройства развития речи у детей,11/21/2024,"F80.0, F80.1, F80.2, F80.8"
816_1,Гломерулярные болезни: фокально-сегментарный гломерулосклероз,11/21/2024,"N00.1, N01.1, N02.1, N03.1, N04.1, N05.1, N06.1, N07.1, N18.1, N18.2, N18.3, N18.4, N18.5, N18.9"
818_1,Вторичная глаукома,11/21/2024,"H40.3, H40.4, H40.5, H40.6, H40.8, H40.9, H42.8"
814_1,Ишемический инсульт и транзиторная ишемическая атака,11/20/2024,"G45.0, G45.1, G45.2, G45.3, G45.4, G45.8, G45.9, G46.0, G46.1, G46.2, G46.3, G46.4, G46.5, G46.6, G46.7, G46.8, I63.0, I63.1, I63.2, I63.3, I63.4, I63.5, I63.6, I63.8, I63.9, I64, I65.0, I65.1, I65.2, I65.3, I65.8, I65.9, I66.0, I66.1, I66.2, I66.3, I66.4, I66.8, I66.9, I67.6"
815_1,Травма носа,11/20/2024,"S00.3, S01.2, S02.2, S02.2, S02.2"
683_2,Хронический тонзиллит,11/20/2024,"J31.2, J35.0, J35.8, J35.9"
664_2,Паратонзиллярный абсцесс,11/20/2024,"J36, J39.0, J39.1"
469_3,Хроническая болезнь почек (ХБП),11/19/2024,"D63.8, E21.1, E43, E44, E83.3, E83.5, E83.8, E87.2, E87.5, E89.2, N15.9, N18.1, N18.2, N18.3, N18.4, N18.5, N18.9, N19, N25.0, Z49.0, Z49.1, Z49.2"
813_1,Травма гортани,11/19/2024,"R04.1, S10.0, S10.1, S11.0"
811_1,Прочие первичные грыжи брюшной стенки,11/18/2024,"K42.0, K42.1, K42.9, K43.6, K43.7, K43.9"
812_1,Травма уха,11/18/2024,"S00.4, S01.3, S09.2"
169_2,Мигрень,11/15/2024,"G43.0, G43.1, G43.2, G43.3, G43.8, G43.9, G44.0, G44.1, G44.4"
809_1,Вывих шейного позвонка,11/15/2024,"S10.8, S12.0, S12.1, S12.2, S12.7, S13.0, S13.1, S13.3, S13.4, S14.0"
359_3,Бронхиальная астма,11/15/2024,"J45, J45.0, J45.1, J45.8, J45.9, J46, Z57.2, Z57.3, Z57.4, Z57.5"
810_1,Головная боль напряжения,11/15/2024,"G44, G44.2, G44.3, G44.8, G90.8"
663_2,Наружные отиты,11/13/2024,"H60.0, H60.1, H60.2, H60.3, H60.4, H60.5, H60.8, H60.9, H61.0, H61.8, H61.9, H62.0, H62.1, H62.3, H62.4, H62.8"
606_3,Системная красная волчанка,11/12/2024,"M32, M32.0, M32.1, M32.8, M32.9"
808_1,Плазмоклеточный лейкоз,11/11/2024,C90.1
39_3,Тетрада Фалло,11/8/2024,Q21.3
35_2,Дискордантное предсердно-желудочковое соединение,11/7/2024,"Q20.5, Q20.8"
807_1,Транспозиция магистральных артерий,11/7/2024,Q20.3
805_1,Амиодарон-индуцированная дисфункция щитовидной железы,11/6/2024,"E03.2, E05.8"
563_2,Корь,11/6/2024,B05.9
806_1,Дефект межжелудочковой перегородки,11/6/2024,"I27.8, Q21.0"
448_4,Перелом (вывих) грудного и пояснично-крестцового отдела позвоночника,11/5/2024,"M48.3, S22.0, S22.1, S23, S23.0, S23.1, S23.3, S24, S24.0, S24.1, S24.2, S32, S32.0, S32.1, S32.2, S33, S33.0, S33.1, S33.2, S33.3, S34, S34.0, S34.1, S34.2, S34.3, T91.1"
136_2,Лимфома из клеток мантии,11/5/2024,"C83.1, C85.1"
804_1,Приобретенная чистая красноклеточная аплазия (эритробластопения),11/5/2024,"D60.0, D60.1, D60.8, D60.9"
803_1,Стриктура уретры у детей,11/2/2024,"N35.0, N35.1, N35.8, N35.9, N99.1, Q64.3"
63_2,Кишечная инвагинация у детей,11/2/2024,K56.1
680_2,Варикозное расширение вен нижних конечностей,11/2/2024,"I83, I83.0, I83.1, I83.2, I83.9"
14_3,Цистит у женщин,11/2/2024,"N30.0, N30.1, N30.2"
668_2,Флебит и тромбофлебит поверхностных сосудов,11/2/2024,"I80.0, I80.8, I82.1, O22.2, O87.0"
309_2,Острый ларингит,11/1/2024,"J04.0, J04.2"
709_2,Дефект предсердно-желудочковой перегородки (Атриовентрикулярный канал),10/31/2024,Q21.2
306_3,Острый тонзиллит и фарингит (Острый тонзиллофарингит),10/31/2024,"J02, J02.0, J02.8, J02.9, J03, J03.0, J03.8, J03.9"
711_2,Алкогольная болезнь печени,10/30/2024,"K70.0, K70.1, K70.2, K70.3, K70.4, K70.9"
698_2,Хронический средний отит,10/29/2024,"H65.2, H65.3, H65.4, H66.1, H66.2, H66.3, H72.0, H90.0, H90.1, H90.2, H90.6, H90.7, H90.8"
623_5,Анемия при хронической болезни почек,10/29/2024,D63.8
162_3,Головная боль напряжения (ГБН),10/28/2024,"G44, G44.2, G44.3, G44.4, G44.8, G90.8"
313_3,Острый синусит,10/28/2024,J01
314_3,Отит средний острый,10/28/2024,"H65.0, H65.1, H66.0"
662_2,Гипертрофия аденоидов. Гипертрофия небных миндалин.,10/25/2024,"J31.1, J35.1, J35.2, J35.3, J35.8"
